  PID  PPID USER         NAME                       
 1764     2 root         [kworker/R-ext4-rsv-conversion]
 1765     2 root         [kworker/R-ext4-rsv-conversion]
 1766     2 root         [kworker/R-ext4-rsv-conversion]
 1767     2 root         [kworker/R-ext4-rsv-conversion]
 1778     2 root         [glink_adsp]
 1779     2 root         [glink-glink_ssr]
 1780     2 root         [glink-mhi_sat]
 1781     2 root         [qrtr_rx]
 1782     2 root         [glink-IPCRTR]
 1786     2 root         [irq/134-arm-smmu-context-fault]
 1787     2 root         [irq/135-arm-smmu-context-fault]
 1788     2 root         [irq/136-arm-smmu-context-fault]
 1789     2 root         [irq/137-arm-smmu-context-fault]
 1790     2 root         [irq/138-arm-smmu-context-fault]
 1791     2 root         [irq/139-arm-smmu-context-fault]
 1792     2 root         [kworker/R-pdr_notifier_wq]
 1793     2 root         [kworker/R-pdr_notifier_wq]
 1794     2 root         [kworker/R-pdr_notifier_wq]
 1795     2 root         [glink-fastrpcglink-apps-dsp]
 1796     2 root         [kworker/R-pdr_notifier_wq]
 1797     2 root         [glink-adsp_apps]
 1798     2 root         [glink-sleepmonglink-apps-adsp]
 1800     2 root         [glink-bt_cp_ctrl]
 1801  1246 root         virtmgr_avf_qcvm_manage
 1802  1246 root         virtmgr_avf_qcvm_manage
 1826  1802 root         crosvm_trustedvm
 1828  1801 root         crosvm_oemvm
 1838     2 root         [kworker/R-syna_reflash]
 1839     2 root         [kworker/R-synaptics_tcm_helper]
 1846     2 root         [irq/496-gh_dbl_rx_5]
 1847     2 root         [irq/499-gh_dbl_rx_8]
 1852     2 root         [qrtr_rx]
 1861     2 root         [irq/504-gh_dbl_rx_4]
 1862     2 root         [irq/513-gh_dbl_rx_3]
 1863     2 root         [irq/514-gh_dbl_rx_7]
 1864     2 root         [irq/515-gh_dbl_rx_9]
 1865     2 root         [qrtr_rx]
 1906     1 system       time_daemon
 1908     2 root         [kworker/u32:5-qmi_msg_handler]
 1918     1 root         vendor.xiaomi.hardware.mimd2-service
 1946  1977 u0_a212      com.xiaomi.xmsf:passing
 1947     1 root         netd
 1970     2 root         [kworker/R-kdmflush/254:64]
 1971     2 root         [kworker/R-kdmflush/254:65]
 1972     2 root         [kworker/R-kverityd]
 1976     1 statsd       statsd
